인파에게배마가,1445,배틀마스터,0
데카잘먹는언니,1445,소서리스,0
이직업은신규직업입니다,1430,데빌헌터,0
변신하는벌레,1445,데모닉,0
105mm견인포병,1460,블래스터,0
무신론자의홀나,1475,홀리나이트,0
뒤로가는허수아비,1460,워로드,0
제주도박진수,1455,아르카나,0
메난민받아주세요,1511,창술사,0
고철덩어리굴러가요,1351,스카우터,0
쌍검은트릭이다,1417,블레이드,1
밥솥은역시쿸쿠르삥뽕,1370,블래스터,1
모코코아이조아,1472,바드,1
쓸데없이멋있는모코코,1437,호크아이,1
밑장빼기그만,1472,아르카나,1
리디미디,1321,건슬링어,1
니나브산모코코,1310,소서리스,1
이첼릿,1417,아르카나,2
이셀릿,1415,창술사,2
엔첼릿,1370,블레이드,2
퇴근이다집에갈거야저리가,1415,워로드,2
메이스트리아,1462,소서리스,2
라첼릿,1385,리퍼,2
하프로구하는세상,1430,바드,2
루첼릿,1430,서머너,2
에플릿,1500,건슬링어,2
샷건잘쏘는언니,1432,건슬링어,3
살고싶으면빌어봐,1447,바드,3
이쑤시개꽂이,1472,기공사,3
미래의치킨집,1462,스카우터,3
원펀치갈비뼈,1470,인파이터,3
미래의미중년,1530,홀리나이트,3
언제나워붕워붕,1302,워로드,3
칼이너무많아긴것만써야징,1430,블레이드,4
퐁퐁이퐁퐁이퐁퐁,1415,서머너,4
넬라아님넬라굿하지마요,1460,홀리나이트,4
퇴근하는떼바씨,1415,소서리스,4
칼이너무무거웡,1504,버서커,4
아리아나그렇죠,1462,인파이터,4
넬라임넬라굿하세요,1465,워로드,4
발헤임하러가요,460,리퍼,5
발헤임하시죠,460,건슬링어,5
발헤임할꺼다,1420,소서리스,5
발헤임합니다,1417,기공사,5
발헤임할래요,1447,블래스터,5
발헤임해요,1465,창술사,5
발헤임할꺼에요,1510,디스트로이어,5
발헤임합시다,1462,스카우터,5
치코리타의환생,1445,바드,5
아이스카푸치노커피,460,호크아이,6
아이스쇼콜라봉봉,1415,홀리나이트,6
아이스바닐라커피,1462,건슬링어,6
아이스돌체커피,1380,건슬링어,6
카페인으로수혈중,466,건슬링어,7
카페인으로연구중,1430,홀리나이트,7
카페인으로연명중,1430,소서리스,7
구름하얀,302,리퍼,8
노을이그린구름,1432,창술사,8
구름이그린노을,1415,홀리나이트,8
3un3et노을,1460,배틀마스터,8
Sun3et,1445,소서리스,8
노을Sunset,1427,건슬링어,8
3unSet,1500,바드,8
3un3et,1370,아르카나,8
